Year,Trade Flow,Reporter,Partner,Commodity Code,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2021,Import,Saudi Arabia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,94161166,94161166,181026212
2021,Export,Chile,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2750018,2750018,5483405
2021,Import,Philippines,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,75781820,75781820,125098871
2021,Export,China,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,783087137,783087137,1460379299
2021,Import,Japan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,66449527,66449527,219529254
2021,Export,Colombia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,11437116,11437116,22438725
2021,Import,United Arab Emirates,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,65652802,65652802,145225945
2021,Import,Rep. of Korea,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,62414271,62414271,248031055
2021,Export,Congo,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2703,2703,31499
2021,Import,Denmark,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,60913767,60913767,130961605
2021,Export,Costa Rica,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,623601,623601,1706570
2021,Import,Pakistan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,60436434,60436434,103650310
2021,Export,Croatia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2921544,2921544,7233994
2021,Import,Egypt,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,56929345,56929345,141770684
2021,Export,Cyprus,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1000,1000,23644
2021,Import,Chile,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,50968747,50968747,113458469
